sample_code,soil_id,soil_label,p_level_code,p_level_percent,p_dose_mg_dm3,replicate,P_Mehlich1_mg_dm3,P_Mehlich3_mg_dm3,P_resin_mg_dm3,P_Olsen_mg_dm3,dry_matter_cut1_g,dry_matter_cut2_g,dry_matter_total_g,plant_P_cut1_g_kg,plant_P_cut2_g_kg,P_uptake_cut1_mg_pot,P_uptake_cut2_mg_pot,P_uptake_total_mg_pot
131,1,RY,3,40,148.0,1,132.729,122.013,97.985,50.127,11.215,6.531,17.746,2.673,2.369,29.983,15.469,45.452
132,1,RY,3,40,148.0,2,150.237,145.767,68.29,58.058,10.187,9.752,19.939,2.832,2.279,28.846,22.221,51.067
133,1,RY,3,40,148.0,3,165.513,108.548,90.777,55.391,10.947,7.899,18.846,3.065,2.193,33.553,17.319,50.873
134,1,RY,3,40,148.0,4,146.193,157.308,94.03,81.833,11.844,8.086,19.93,3.037,2.022,35.975,16.349,52.323
141,1,RY,4,70,259.0,1,281.399,204.33,132.507,79.383,12.353,9.277,21.631,2.756,2.297,34.044,21.311,55.355
142,1,RY,4,70,259.0,2,324.296,257.271,185.011,139.451,11.475,9.758,21.233,2.624,2.528,30.105,24.671,54.775
143,1,RY,4,70,259.0,3,273.605,219.667,127.616,96.686,13.136,9.27,22.406,3.018,2.294,39.648,21.261,60.909
144,1,RY,4,70,259.0,4,234.827,217.538,139.899,123.408,12.833,7.889,20.722,2.95,2.267,37.859,17.881,55.74
151,1,RY,5,100,370.0,1,384.695,290.568,239.801,123.011,12.333,10.343,22.676,3.337,2.63,41.153,27.199,68.352
152,1,RY,5,100,370.0,2,421.076,311.102,178.57,140.755,10.804,9.543,20.347,2.895,2.592,31.277,24.732,56.009
153,1,RY,5,100,370.0,3,499.184,317.125,190.365,138.512,13.846,9.671,23.517,3.068,2.76,42.485,26.687,69.173
154,1,RY,5,100,370.0,4,447.419,358.398,197.006,117.367,12.083,6.62,18.704,3.495,2.528,42.234,16.737,58.971
201,2,RQ,0,0,0.0,1,17.757,88.843,0.0,2.474,5.167,3.991,9.158,1.199,0.971,6.195,3.873,10.069
202,2,RQ,0,0,0.0,2,50.191,87.224,21.993,24.015,2.491,1.818,4.31,1.031,0.781,2.569,1.42,3.989
203,2,RQ,0,0,0.0,3,0.0,34.976,40.15,0.0,4.516,3.539,8.055,1.134,1.18,5.123,4.178,9.301
204,2,RQ,0,0,0.0,4,59.215,85.122,16.601,5.257,4.48,3.117,7.597,1.235,0.805,5.534,2.509,8.043
211,2,RQ,1,10,37.0,1,83.01,81.724,94.717,54.633,6.523,4.951,11.474,1.526,1.388,9.953,6.875,16.828
212,2,RQ,1,10,37.0,2,93.14,111.053,23.293,19.199,5.245,3.9,9.145,1.606,1.4,8.423,5.459,13.882
213,2,RQ,1,10,37.0,3,39.479,72.05,0.662,7.818,8.901,7.941,16.843,1.599,1.825,14.235,14.497,28.732
214,2,RQ,1,10,37.0,4,209.666,39.731,31.231,33.139,8.714,7.408,16.122,1.769,1.635,15.42,12.109,27.529
221,2,RQ,2,20,74.0,1,142.439,93.47,55.721,22.465,9.133,6.909,16.042,2.292,1.737,20.936,11.998,32.934
222,2,RQ,2,20,74.0,2,144.094,135.136,62.084,46.639,9.609,6.958,16.566,2.101,1.894,20.192,13.175,33.367
223,2,RQ,2,20,74.0,3,118.497,167.55,93.279,47.116,8.085,7.013,15.097,2.484,1.884,20.082,13.211,33.293
224,2,RQ,2,20,74.0,4,144.481,52.417,79.069,48.076,8.121,6.351,14.472,2.299,1.846,18.666,11.725,30.39
231,2,RQ,3,40,148.0,1,197.602,161.405,91.786,70.564,11.056,12.105,23.161,2.697,2.268,29.821,27.45,57.27
232,2,RQ,3,40,148.0,2,224.07,153.353,58.682,73.02,12.251,11.37,23.621,2.917,2.177,35.743,24.749,60.492
233,2,RQ,3,40,148.0,3,207.99,132.923,89.972,86.629,13.999,7.562,21.561,2.98,2.315,41.721,17.504,59.225
234,2,RQ,3,40,148.0,4,289.227,177.68,115.546,64.276,11.391,9.241,20.632,2.943,2.024,33.52,18.701,52.221
241,2,RQ,4,70,259.0,1,377.768,248.423,181.095,119.011,16.0,10.262,26.262,2.736,2.468,43.768,25.327,69.094
242,2,RQ,4,70,259.0,2,289.822,238.594,188.575,117.424,11.72,10.006,21.727,3.057,2.261,35.824,22.624,58.448
243,2,RQ,4,70,259.0,3,312.361,263.503,180.744,117.022,11.169,7.692,18.86,3.064,2.554,34.225,19.648,53.873
244,2,RQ,4,70,259.0,4,415.292,192.245,142.323,116.772,12.869,7.269,20.138,3.124,2.632,40.197,19.135,59.332
251,2,RQ,5,100,370.0,1,448.683,368.188,236.831,151.83,14.31,9.911,24.221,2.978,2.534,42.615,25.114,67.728
252,2,RQ,5,100,370.0,2,467.511,355.277,235.321,133.75,15.07,8.504,23.574,3.002,2.412,45.238,20.516,65.754
253,2,RQ,5,100,370.0,3,483.479,369.107,213.576,167.175,15.552,9.79,25.342,3.261,2.979,50.719,29.169,79.888
254,2,RQ,5,100,370.0,4,465.143,283.669,248.619,142.162,15.173,8.821,23.994,2.83,2.335,42.942,20.597,63.539
301,3,PVA1,0,0,0.0,1,0.0,21.176,29.672,22.339,4.448,4.049,8.497,0.738,1.01,3.283,4.089,7.371
302,3,PVA1,0,0,0.0,2,13.77,58.782,35.443,16.935,5.519,3.849,9.368,1.306,0.873,7.209,3.361,10.569
303,3,PVA1,0,0,0.0,3,26.917,50.903,38.052,9.488,5.089,3.849,8.938,1.176,1.149,5.987,4.424,10.411
304,3,PVA1,0,0,0.0,4,0.0,6.106,0.0,0.0,4.135,2.644,6.779,1.143,1.036,4.727,2.738,7.465
311,3,PVA1,1,10,37.0,1,132.577,117.853,39.846,48.713,7.657,6.354,14.011,1.7,1.228,13.014,7.805,20.819
312,3,PVA1,1,10,37.0,2,43.596,67.282,59.046,53.854,6.766,4.592,11.357,1.61,1.58,10.896,7.256,18.151
313,3,PVA1,1,10,37.0,3,77.664,23.095,61.79,21.293,6.921,5.963,12.884,1.688,1.572,11.681,9.372,21.054
314,3,PVA1,1,10,37.0,4,75.047,87.882,49.33,48.252,6.891,6.337,13.228,2.032,1.435,14.002,9.095,23.097
321,3,PVA1,2,20,74.0,1,182.282,122.546,59.85,49.409,14.186,7.208,21.394,2.26,1.865,32.056,13.447,45.502
322,3,PVA1,2,20,74.0,2,180.556,85.675,70.063,44.164,10.085,8.363,18.448,1.928,1.463,19.442,12.239,31.681
323,3,PVA1,2,20,74.0,3,81.843,97.285,56.285,71.647,10.762,9.112,19.873,2.315,1.763,24.917,16.067,40.984
324,3,PVA1,2,20,74.0,4,119.329,116.605,76.357,39.776,10.578,9.219,19.797,2.247,2.304,23.77,21.243,45.013
331,3,PVA1,3,40,148.0,1,239.289,220.086,107.483,82.183,12.894,9.601,22.495,2.589,2.313,33.38,22.21,55.591
332,3,PVA1,3,40,148.0,2,190.931,197.058,129.346,79.183,13.209,8.874,22.082,2.683,2.404,35.439,21.334,56.773
333,3,PVA1,3,40,148.0,3,146.837,167.022,61.672,53.121,15.428,9.625,25.053,2.601,1.965,40.124,18.916,59.041
334,3,PVA1,3,40,148.0,4,95.846,160.785,158.719,80.14,12.924,8.666,21.59,2.433,2.182,31.438,18.912,50.35
341,3,PVA1,4,70,259.0,1,379.414,273.574,186.97,123.166,14.743,11.943,26.685,3.23,2.773,47.612,33.119,80.73
342,3,PVA1,4,70,259.0,2,331.281,249.527,198.96,115.662,15.749,12.26,28.009,3.341,2.504,52.618,30.694,83.312
343,3,PVA1,4,70,259.0,3,386.558,323.099,161.614,105.165,14.758,9.917,24.675,2.737,2.595,40.389,25.732,66.121
344,3,PVA1,4,70,259.0,4,350.693,310.592,116.899,107.329,12.277,10.169,22.446,3.099,2.448,38.053,24.892,62.944
351,3,PVA1,5,100,370.0,1,509.223,370.449,238.15,148.51,16.803,10.902,27.705,3.228,2.661,54.234,29.005,83.239
352,3,PVA1,5,100,370.0,2,533.964,436.277,231.759,158.331,13.509,11.567,25.076,2.902,2.4,39.198,27.767,66.965
353,3,PVA1,5,100,370.0,3,517.444,385.254,234.8,151.913,17.1,10.953,28.053,3.119,2.443,53.33,26.756,80.086
354,3,PVA1,5,100,370.0,4,545.304,380.864,201.816,161.678,14.636,12.268,26.904,3.189,2.299,46.668,28.199,74.867
401,4,PVA2,0,0,0.0,1,95.128,82.438,14.445,20.088,1.955,1.707,3.662,1.141,0.807,2.231,1.378,3.609
402,4,PVA2,0,0,0.0,2,67.148,104.919,0.0,3.276,5.429,2.995,8.424,0.956,1.045,5.187,3.129,8.317
403,4,PVA2,0,0,0.0,3,116.958,0.0,0.0,9.07,4.326,2.737,7.063,1.248,0.681,5.4,1.862,7.263
404,4,PVA2,0,0,0.0,4,58.193,27.674,48.038,6.214,4.124,2.73,6.854,1.353,1.081,5.578,2.951,8.528
411,4,PVA2,1,10,37.0,1,10.023,95.736,19.63,33.76,6.912,4.649,11.561,1.657,1.264,11.454,5.876,17.33
412,4,PVA2,1,10,37.0,2,117.997,86.844,28.878,50.783,7.749,5.582,13.33,1.872,1.383,14.508,7.721,22.229
413,4,PVA2,1,10,37.0,3,107.076,63.591,33.329,49.543,5.923,6.327,12.25,2.141,1.954,12.679,12.362,25.041
414,4,PVA2,1,10,37.0,4,67.638,21.49,35.554,26.459,7.38,6.402,13.782,1.934,1.589,14.275,10.174,24.45
421,4,PVA2,2,20,74.0,1,69.502,135.166,109.929,48.339,10.192,7.554,17.746,2.369,1.525,24.143,11.521,35.663
422,4,PVA2,2,20,74.0,2,144.148,102.476,105.422,43.494,11.443,9.912,21.355,2.363,1.894,27.043,18.775,45.818
423,4,PVA2,2,20,74.0,3,97.643,119.512,91.445,41.399,8.868,6.44,15.308,2.065,1.775,18.314,11.431,29.745
424,4,PVA2,2,20,74.0,4,133.079,63.02,29.226,52.681,8.313,9.099,17.412,2.403,1.886,19.973,17.158,37.132
431,4,PVA2,3,40,148.0,1,206.376,143.875,127.928,81.755,16.461,11.121,27.581,2.822,2.206,46.457,24.529,70.986
432,4,PVA2,3,40,148.0,2,275.255,202.133,137.078,69.565,12.624,9.885,22.509,2.903,2.505,36.646,24.767,61.413
433,4,PVA2,3,40,148.0,3,217.852,170.637,116.45,73.423,12.251,12.755,25.006,2.579,2.095,31.601,26.721,58.322
434,4,PVA2,3,40,148.0,4,134.084,154.471,89.407,74.049,14.424,10.872,25.296,2.539,2.226,36.616,24.197,60.812
441,4,PVA2,4,70,259.0,1,438.338,257.886,156.662,131.082,15.702,10.213,25.916,3.047,2.606,47.849,26.619,74.468
442,4,PVA2,4,70,259.0,2,344.546,286.802,172.06,106.24,14.275,9.226,23.5,2.98,2.296,42.536,21.181,63.717
443,4,PVA2,4,70,259.0,3,386.797,321.006,126.519,102.309,15.74,8.914,24.653,3.106,2.618,48.896,23.336,72.232
444,4,PVA2,4,70,259.0,4,339.818,253.579,186.547,124.078,15.63,11.672,27.302,3.106,2.508,48.542,29.278,77.82
451,4,PVA2,5,100,370.0,1,578.75,415.16,208.213,138.198,18.269,10.845,29.114,2.946,2.226,53.828,24.136,77.965
452,4,PVA2,5,100,370.0,2,548.207,418.875,283.397,176.888,14.5,12.141,26.641,3.153,2.507,45.717,30.433,76.15
453,4,PVA2,5,100,370.0,3,498.072,452.413,283.124,185.565,15.756,9.897,25.653,3.278,2.64,51.656,26.129,77.785
454,4,PVA2,5,100,370.0,4,599.985,410.011,260.13,178.577,14.204,13.72,27.924,3.167,2.46,44.987,33.756,78.743
501,5,LVA,0,0,0.0,1,0.0,95.454,58.038,34.029,5.363,3.096,8.459,1.202,1.037,6.449,3.209,9.658
502,5,LVA,0,0,0.0,2,0.0,56.91,21.328,0.0,4.561,3.347,7.908,1.56,1.161,7.113,3.885,10.999
503,5,LVA,0,0,0.0,3,35.515,52.464,20.973,12.159,3.473,2.578,6.052,1.051,0.775,3.65,1.998,5.648
504,5,LVA,0,0,0.0,4,58.005,56.738,0.0,13.282,6.094,3.698,9.792,1.405,1.007,8.564,3.724,12.287
511,5,LVA,1,10,37.0,1,50.16,48.657,50.984,36.479,10.606,6.391,16.997,1.792,1.271,19.007,8.122,27.13
512,5,LVA,1,10,37.0,2,73.828,87.684,38.957,23.078,8.473,6.662,15.135,1.693,1.551,14.345,10.332,24.677
513,5,LVA,1,10,37.0,3,70.098,88.491,49.413,15.217,8.807,5.007,13.814,1.586,1.114,13.968,5.577,19.546
514,5,LVA,1,10,37.0,4,4.404,82.041,44.083,29.522,7.979,8.887,16.866,1.898,1.776,15.142,15.782,30.924
521,5,LVA,2,20,74.0,1,90.625,105.941,50.241,34.817,11.918,6.789,18.707,2.613,1.776,31.145,12.058,43.203
522,5,LVA,2,20,74.0,2,227.103,118.402,105.386,46.032,11.613,7.917,19.53,2.882,1.99,33.464,15.754,49.218
523,5,LVA,2,20,74.0,3,109.548,146.405,58.845,40.481,12.165,8.765,20.93,2.301,1.839,27.998,16.119,44.117
524,5,LVA,2,20,74.0,4,156.521,130.084,24.192,56.67,9.154,8.372,17.527,2.234,1.852,20.452,15.503,35.955
531,5,LVA,3,40,148.0,1,216.542,214.601,84.082,73.979,13.662,9.969,23.63,2.8,2.054,38.259,20.479,58.738
532,5,LVA,3,40,148.0,2,280.343,191.56,71.987,52.256,14.085,10.576,24.661,2.724,2.231,38.369,23.591,61.96
533,5,LVA,3,40,148.0,3,257.9,218.099,89.166,63.268,13.437,9.278,22.715,2.994,2.158,40.227,20.023,60.25
534,5,LVA,3,40,148.0,4,135.174,138.55,95.283,71.868,13.927,10.021,23.948,2.682,2.425,37.357,24.298,61.655
541,5,LVA,4,70,259.0,1,376.892,272.303,194.353,106.684,16.753,11.928,28.681,3.02,2.766,50.601,32.992,83.593
542,5,LVA,4,70,259.0,2,379.313,359.981,178.858,110.305,15.091,13.014,28.105,2.9,2.551,43.759,33.205,76.964
543,5,LVA,4,70,259.0,3,432.314,279.507,205.54,144.388,18.375,12.19,30.565,3.323,2.141,61.053,26.104,87.157
544,5,LVA,4,70,259.0,4,393.007,272.162,186.44,120.183,18.139,9.542,27.68,3.016,2.554,54.706,24.374,79.081
551,5,LVA,5,100,370.0,1,556.423,408.946,254.157,182.967,20.128,11.035,31.164,3.212,2.667,64.662,29.426,94.088
552,5,LVA,5,100,370.0,2,515.086,404.039,274.711,188.814,18.123,11.324,29.447,3.249,2.776,58.877,31.44,90.317
553,5,LVA,5,100,370.0,3,579.896,396.004,261.414,135.662,12.916,16.84,29.755,2.806,2.642,36.239,44.486,80.725
554,5,LVA,5,100,370.0,4,588.364,371.802,238.359,195.878,18.882,9.312,28.195,3.15,2.634,59.483,24.527,84.01
601,6,V,0,0,0.0,1,107.759,48.931,0.0,13.464,4.17,3.766,7.936,1.149,0.866,4.79,3.263,8.053
602,6,V,0,0,0.0,2,76.596,46.038,13.778,13.513,5.08,3.321,8.402,1.0,0.813,5.081,2.699,7.779
603,6,V,0,0,0.0,3,84.711,32.63,0.0,21.213,4.583,4.251,8.834,1.246,1.132,5.71,4.814,10.524
604,6,V,0,0,0.0,4,51.847,63.959,0.0,19.635,4.18,3.275,7.455,1.374,1.266,5.744,4.147,9.891
611,6,V,1,10,77.0,1,168.684,120.442,40.878,36.031,8.595,6.101,14.696,2.3,2.007,19.77,12.248,32.018
612,6,V,1,10,77.0,2,85.27,59.119,34.174,39.968,7.908,5.414,13.322,2.408,1.792,19.042,9.7,28.742
613,6,V,1,10,77.0,3,121.969,92.363,16.127,51.285,6.379,6.036,12.415,2.065,1.675,13.172,10.113,23.285
614,6,V,1,10,77.0,4,90.285,72.782,35.882,39.769,8.254,5.674,13.928,2.356,1.97,19.447,11.178,30.624
621,6,V,2,20,154.0,1,46.017,106.062,18.62,47.691,9.806,5.964,15.769,3.009,2.293,29.503,13.677,43.18
622,6,V,2,20,154.0,2,118.359,131.55,54.971,47.167,9.789,7.764,17.553,2.932,2.379,28.705,18.469,47.174
623,6,V,2,20,154.0,3,97.909,146.212,81.953,48.613,7.86,6.545,14.405,2.664,2.355,20.937,15.412,36.349
624,6,V,2,20,154.0,4,97.872,130.12,39.266,44.329,10.828,5.147,15.975,2.496,2.522,27.024,12.981,40.005
631,6,V,3,40,308.0,1,253.493,201.325,115.774,85.598,10.956,6.212,17.168,3.017,2.73,33.053,16.961,50.013
632,6,V,3,40,308.0,2,217.753,187.182,89.587,85.742,11.565,8.481,20.046,3.069,2.326,35.489,19.726,55.215
633,6,V,3,40,308.0,3,236.432,141.206,93.087,82.547,13.722,6.097,19.819,2.991,2.785,41.04,16.979,58.019
634,6,V,3,40,308.0,4,257.719,184.453,122.687,80.239,9.945,7.699,17.644,2.828,2.249,28.13,17.311,45.441
641,6,V,4,70,539.0,1,434.959,288.681,169.934,127.77,11.325,7.961,19.286,3.06,2.813,34.65,22.397,57.048
642,6,V,4,70,539.0,2,476.626,311.819,204.468,145.038,12.024,7.865,19.889,3.311,2.686,39.807,21.127,60.933
643,6,V,4,70,539.0,3,356.182,318.004,153.22,116.527,12.396,7.806,20.201,3.488,2.544,43.24,19.856,63.096
644,6,V,4,70,539.0,4,353.711,289.769,185.292,128.757,11.252,8.644,19.895,3.261,2.415,36.696,20.872,57.568
651,6,V,5,100,770.0,1,584.639,405.068,236.429,172.628,9.997,7.567,17.564,3.553,2.582,35.524,19.534,55.058
652,6,V,5,100,770.0,2,553.4,342.051,233.252,172.247,10.584,6.077,16.661,3.166,2.831,33.511,17.205,50.715
653,6,V,5,100,770.0,3,567.152,406.092,250.971,175.983,10.226,10.763,20.989,2.799,2.502,28.621,26.924,55.545
654,6,V,5,100,770.0,4,565.029,425.678,263.333,170.551,12.256,7.473,19.73,3.236,2.773,39.66,20.721,60.381
